,Words,Type,Description
96,shrugged,(verb) raised the shoulders to express indifference or aloofness.,
97,still,"(adjective) stationary, immobile.",
98,pranks,(plural noun) tricks.,
99,smiled,"(verb) looked at with amusement, contempt or ridicule.",
100,peach,"(noun) a sweet juicy edible fruit which is used as a fresh or cooked fruit, in",
,,preserves or dried.,
101,pie,(noun) a food consisting of meat or fruit baked in or under dough and,
,,typically in a dish that is lined with dough and topped with pastry.,
102,size,"(noun) the actual, characteristic, normal or relative proportion of a thing.",
103,hall,(noun) the home or castle of a medieval king or member of the nobility.,
104,jangled,(verb) caused to sound harshly or unpleasantly.,
105,chain,(noun) a series of interconnected typically metal links or rings used for,
,,various purposes such as support or restraint.,
106,workhorse,(noun) a person who performs and takes on a large amount of difficult labor.,
107,antennas,(plural noun) metallic devices such as rods or wires that are used for receiving or,
,,radiating radio waves.,
108,honest,(adjective) legitimate : truthful.,
109,holler,(verb) to cry out or shout to attract attention.,
110,billboard,(noun) a large panel mounted on a building or framework near a road that,
,,holds outdoor advertising.,
111,chicken,(noun) a common domestic bird.,
112,puppets,(plural noun) representations of humans or other living things that are small in,
,,"scale and are moved and controlled by rod, hand or strings.",
113,waited,(verb) remained in place in expectation of something or someone.,
114,finish,(verb) to arrive at the end of : complete.,
115,cheer,(verb) to fill with gladness : to cause to be happy.,
116,twisty,(adjective) winding : full of bends.,
117,chips,(plural noun) thin slices of potatoes that are deep-fried in fat.,
118,scoop,(noun) a container or utensil used to hold or remove a liquid or loose,
,,materials.,
119,rover,(noun) someone who wanders.,
120,forgive,(verb) to stop feeling resentment toward because of a wrong committed.,
121,ribbon,"(noun) a flat narrow fabric made of silk, rayon, nylon or cotton that is closely",
,,"woven in various constructions and used for trimmings, decorations",
,,or knitting.,
122,shoo,(interjection) � used in scaring away an animal.,
123,greedy,"(adjective) having an excessive or selfish desire for something, usually material",
,,possessions.,
124,beam,(noun) a long piece of heavy wood that is suitable to use in house,
,,construction.,
125,crew,(noun) the group of people who work on a ship.,
126,crate,(noun) a container that is used to transport items.,
127,hotel,(noun) a building with many rooms that are used for overnight lodging.,
128,stray,(noun) a domestic animal that has left its enclosure or home and wanders at,
,,large or is lost.,
129,gallop,(noun) the natural three-beat gait of a horse.,
130,dinosaur,(noun) a member of a group of extinct reptiles.,
131,ancient,(adjective) existing from a long ago period or date.,
132,tapestry,(noun) a heavy textile woven by hand used for hangings or curtains.,
133,delivery,(noun) an instance of the physical transfer of a shipment.,
134,attagirl,(interjection) � used to express encouragement or approval to a woman or girl.,
135,salamanders,"(plural noun) various small amphibians that resemble lizards but don't have scales,",
,,"are covered with a soft moist skin, live in moist dark places, pose no",
,,"harm to humans, and feed on small animals such as aquatic worms and",
,,insects.,
136,usual,"(adjective) in accordance with the normal custom, usage or habit.",
137,challenge,(noun) a thing which one can devote energy or effort to.,
138,cahoots,(plural noun) secret agreement : collusion.,
139,oozing,(verb) moving slowly or without notice.,
140,Mars,(noun) the planet that is fourth from the sun and is noted for its apparent red,
,,color.,
141,pelican,(noun) a large web-footed bird with long wings and a very large bill having a,
,,throat pouch in which it catches fish.,
142,drastic,(adjective) notably vigorous or severe.,
143,yoga,(noun) a group of exercises for achieving well-being and control of mind and,
,,body.,
144,burlap,(noun) a course heavy plain-woven fabric typically made from hemp or jute,
,,that is used for bagging and wrapping items.,
145,blazer,(noun) a single-breasted sports jacket usually with bright stripes or in a solid,
,,color that has a notched collar and patch pockets.,
146,trombone,(noun) a brass instrument that consists of a long cylindrical metal tube that,
,,ends in a bell and has a movable slide which makes musical sounds.,
147,trembling,(verb) quaking due to fear or another emotion.,
148,calmed,(verb) made peaceful : induced quiet and peace in place of agitation or,
,,passion.,
149,police,(noun) the department of the government which is concerned with,
,,"maintaining public order, safety and health, and which has the power",
,,to enforce laws.,
150,certain,(adjective) given to or marked by complete conviction and assurance.,
151,barograph,(noun) an automatic instrument which is used to record variations in,
,,atmospheric pressure.,
152,charred,(verb) partly burned on the outside.,
153,Pakistan,(geographical a country in southern Asia which borders the Arabian Sea.,
,,entry),
154,pressure,(noun) the burden of mental or physical distress.,
155,surmised,(verb) guessed : formed an opinion without substantial proof or certain,
,,knowledge.,
